frame,particle,x,y,size,mass,raw_brightness,brightness_uncertainty,snr,diffusion_coefficient
0,0,75.1530428088255,1176.3636233440054,90.50168572635793,0.12737425001392938,3.8812232853722326e-22,0.09494496262696499,2.0475505944246604,4.826033144948592e-12
1,0,67.68164656259569,1176.3572794299669,90.50168572635793,0.0930581634844601,3.8812232853722326e-22,0.09494496262696499,2.0475505944246604,4.826033144948592e-12
2,0,67.29597354059543,1166.2677347296087,90.50168572635793,0.26978458578627473,3.8812232853722326e-22,0.09494496262696499,2.0475505944246604,4.826033144948592e-12
3,0,70.19889998797464,1166.355579167095,90.50168572635793,0.45256832045343776,3.8812232853722326e-22,0.09494496262696499,2.0475505944246604,4.826033144948592e-12
4,0,77.63824256599095,1169.0216861987524,90.50168572635793,0.2998292875379631,3.8812232853722326e-22,0.09494496262696499,2.0475505944246604,4.826033144948592e-12
5,0,68.29045179880907,1165.5692544934266,90.50168572635793,0.19055072625000263,3.8812232853722326e-22,0.09494496262696499,2.0475505944246604,4.826033144948592e-12
6,0,70.9974827903423,1161.7372096254962,90.50168572635793,0.23747278271083866,3.8812232853722326e-22,0.09494496262696499,2.0475505944246604,4.826033144948592e-12
7,0,77.26719395642628,1155.3673892397692,90.50168572635793,0.2389288795240768,3.8812232853722326e-22,0.09494496262696499,2.0475505944246604,4.826033144948592e-12
8,0,74.60941514547,1159.2368679578497,90.50168572635793,0.09152415333568178,3.8812232853722326e-22,0.09494496262696499,2.0475505944246604,4.826033144948592e-12
9,0,67.82306053957846,1153.018395387271,90.50168572635793,0.15817461089131143,3.8812232853722326e-22,0.09494496262696499,2.0475505944246604,4.826033144948592e-12
10,0,60.99070141127847,1146.5966141306337,90.50168572635793,0.21456863154833972,3.8812232853722326e-22,0.09494496262696499,2.0475505944246604,4.826033144948592e-12
11,0,55.09331856110196,1154.0882644610158,90.50168572635793,0.20865579094258366,3.8812232853722326e-22,0.09494496262696499,2.0475505944246604,4.826033144948592e-12
12,0,55.553063756095845,1153.8615326867061,90.50168572635793,0.275988412835655,3.8812232853722326e-22,0.09494496262696499,2.0475505944246604,4.826033144948592e-12
13,0,49.26758186860727,1155.3097858711883,90.50168572635793,0.15009563429074665,3.8812232853722326e-22,0.09494496262696499,2.0475505944246604,4.826033144948592e-12
14,0,47.24299244256327,1160.320302277627,90.50168572635793,0.20132329370069202,3.8812232853722326e-22,0.09494496262696499,2.0475505944246604,4.826033144948592e-12
15,0,50.59948283045692,1163.7427183271063,90.50168572635793,0.26006703194385106,3.8812232853722326e-22,0.09494496262696499,2.0475505944246604,4.826033144948592e-12
16,0,49.58192706833577,1165.6349169007651,90.50168572635793,0.35180840667167923,3.8812232853722326e-22,0.09494496262696499,2.0475505944246604,4.826033144948592e-12
17,0,44.065997224525155,1163.7496699893588,90.50168572635793,0.07216065706756149,3.8812232853722326e-22,0.09494496262696499,2.0475505944246604,4.826033144948592e-12
18,0,41.60898400863361,1164.4006672854237,90.50168572635793,0.17651161578341354,3.8812232853722326e-22,0.09494496262696499,2.0475505944246604,4.826033144948592e-12
19,0,44.68711746083152,1167.0588217794618,90.50168572635793,0.2924297524096367,3.8812232853722326e-22,0.09494496262696499,2.0475505944246604,4.826033144948592e-12
20,0,45.178432708144605,1163.3624721945762,90.50168572635793,0.31818999631979994,3.8812232853722326e-22,0.09494496262696499,2.0475505944246604,4.826033144948592e-12
21,0,50.477022793481176,1159.709377137888,90.50168572635793,0.17003762999204963,3.8812232853722326e-22,0.09494496262696499,2.0475505944246604,4.826033144948592e-12
22,0,47.106154698773295,1159.4952291399616,90.50168572635793,0.12887467996157953,3.8812232853722326e-22,0.09494496262696499,2.0475505944246604,4.826033144948592e-12
23,0,49.375201540222086,1159.5291711175944,90.50168572635793,0.17131378851347645,3.8812232853722326e-22,0.09494496262696499,2.0475505944246604,4.826033144948592e-12
24,0,53.229043138132404,1162.0830776623839,90.50168572635793,0.19569030253771305,3.8812232853722326e-22,0.09494496262696499,2.0475505944246604,4.826033144948592e-12
25,0,59.9550495081797,1160.9504700195707,90.50168572635793,0.16878692595292605,3.8812232853722326e-22,0.09494496262696499,2.0475505944246604,4.826033144948592e-12
26,0,53.7272713391714,1159.5175776287356,90.50168572635793,0.24698834510760487,3.8812232853722326e-22,0.09494496262696499,2.0475505944246604,4.826033144948592e-12
27,0,59.26162621987262,1163.1300311342004,90.50168572635793,0.24641436500812486,3.8812232853722326e-22,0.09494496262696499,2.0475505944246604,4.826033144948592e-12
28,0,63.72798105903437,1159.9184162930046,90.50168572635793,0.1973734946112559,3.8812232853722326e-22,0.09494496262696499,2.0475505944246604,4.826033144948592e-12
29,0,72.84913288857804,1157.4107743302452,90.50168572635793,0.1536890981855818,3.8812232853722326e-22,0.09494496262696499,2.0475505944246604,4.826033144948592e-12
30,0,68.98118167245063,1153.4793549929088,90.50168572635793,0.06888782885363087,3.8812232853722326e-22,0.09494496262696499,2.0475505944246604,4.826033144948592e-12
31,0,70.71335521352006,1149.756072670314,90.50168572635793,0.07285401600035588,3.8812232853722326e-22,0.09494496262696499,2.0475505944246604,4.826033144948592e-12
32,0,72.46568332712158,1149.9264328132194,90.50168572635793,0.08239897936297925,3.8812232853722326e-22,0.09494496262696499,2.0475505944246604,4.826033144948592e-12
33,0,72.33327697725476,1155.146892377455,90.50168572635793,0.16613403914887276,3.8812232853722326e-22,0.09494496262696499,2.0475505944246604,4.826033144948592e-12
