frame,particle,x,y,z,size,mass,brightness,raw_brightness,brightness_uncertainty,snr,focal_attenuation,diffusion_coefficient
0.0,0.0,47.49676974718375,455.861234822462,4.161731188282284e-06,3.6258284919384825e-08,1.9966887977112563e-22,0.06826209915308773,1.9966887977112563e-22,0.0077093550648699135,8.85445002580635,0.15853432460463263,6.022956352737141e-12
1.0,0.0,47.496770561798016,455.8612344158801,4.175274824847694e-06,3.6258284919384825e-08,1.9966887977112563e-22,0.06826209915308773,1.9966887977112563e-22,0.0077093550648699135,8.85445002580635,0.1581054794240523,6.022956352737141e-12
2.0,0.0,47.496770264655396,455.86123384528895,5.547891289860231e-06,3.6258284919384825e-08,1.9966887977112563e-22,0.06826209915308773,1.9966887977112563e-22,0.0077093550648699135,8.85445002580635,0.12014977728938692,6.022956352737141e-12
3.0,0.0,47.496769138420966,455.86123400785317,6.966295677821666e-06,3.6258284919384825e-08,1.9966887977112563e-22,0.06826209915308773,1.9966887977112563e-22,0.0077093550648699135,8.85445002580635,0.09047361226292228,6.022956352737141e-12
4.0,0.0,47.496769785510274,455.8612338558814,8.362543792290627e-06,3.6258284919384825e-08,1.9966887977112563e-22,0.06826209915308773,1.9966887977112563e-22,0.0077093550648699135,8.85445002580635,0.06842981408453085,6.022956352737141e-12
8.0,0.0,47.49677133747533,455.8612317110977,9.321842649809648e-06,3.6258284919384825e-08,1.9966887977112563e-22,0.06826209915308773,1.9966887977112563e-22,0.0077093550648699135,8.85445002580635,0.056483515616706115,6.022956352737141e-12
9.0,0.0,47.49677114300831,455.8612335111983,7.987944940144632e-06,3.6258284919384825e-08,1.9966887977112563e-22,0.06826209915308773,1.9966887977112563e-22,0.0077093550648699135,8.85445002580635,0.0737534946011068,6.022956352737141e-12
10.0,0.0,47.49676817737882,455.8612323534594,7.289814360993366e-06,3.6258284919384825e-08,1.9966887977112563e-22,0.06826209915308773,1.9966887977112563e-22,0.0077093550648699135,8.85445002580635,0.08480499923892271,6.022956352737141e-12
11.0,0.0,47.496769487007846,455.8612336712422,8.070137987930804e-06,3.6258284919384825e-08,1.9966887977112563e-22,0.06826209915308773,1.9966887977112563e-22,0.0077093550648699135,8.85445002580635,0.07255100044467616,6.022956352737141e-12
13.0,0.0,47.49676657944671,455.8612341691776,7.044021610506259e-06,3.6258284919384825e-08,1.9966887977112563e-22,0.06826209915308773,1.9966887977112563e-22,0.0077093550648699135,8.85445002580635,0.08907805826045564,6.022956352737141e-12
15.0,0.0,47.49676517602093,455.86123225497374,8.721645754036669e-06,3.6258284919384825e-08,1.9966887977112563e-22,0.06826209915308773,1.9966887977112563e-22,0.0077093550648699135,8.85445002580635,0.06368749393426007,6.022956352737141e-12
16.0,0.0,47.496766610844816,455.8612315241895,9.23288562717454e-06,3.6258284919384825e-08,1.9966887977112563e-22,0.06826209915308773,1.9966887977112563e-22,0.0077093550648699135,8.85445002580635,0.0574974294227763,6.022956352737141e-12
17.0,0.0,47.49676717169531,455.86123088091534,7.831077310017788e-06,3.6258284919384825e-08,1.9966887977112563e-22,0.06826209915308773,1.9966887977112563e-22,0.0077093550648699135,8.85445002580635,0.07610408208888741,6.022956352737141e-12
18.0,0.0,47.49676834125196,455.86122993910186,4.399640918321276e-06,3.6258284919384825e-08,1.9966887977112563e-22,0.06826209915308773,1.9966887977112563e-22,0.0077093550648699135,8.85445002580635,0.15116760420474176,6.022956352737141e-12
20.0,0.0,47.49676672264745,455.8612309673492,3.94832540407667e-06,3.6258284919384825e-08,1.9966887977112563e-22,0.06826209915308773,1.9966887977112563e-22,0.0077093550648699135,8.85445002580635,0.16544722896155836,6.022956352737141e-12
21.0,0.0,47.496766556415544,455.8612292690976,5.356247619268066e-06,3.6258284919384825e-08,1.9966887977112563e-22,0.06826209915308773,1.9966887977112563e-22,0.0077093550648699135,8.85445002580635,0.12484436014957319,6.022956352737141e-12
22.0,0.0,47.496765878701495,455.8612269117246,4.983085483632278e-06,3.6258284919384825e-08,1.9966887977112563e-22,0.06826209915308773,1.9966887977112563e-22,0.0077093550648699135,8.85445002580635,0.13451830276507545,6.022956352737141e-12
23.0,0.0,47.49676573350314,455.86122792102805,3.6767210042354072e-06,3.6258284919384825e-08,1.9966887977112563e-22,0.06826209915308773,1.9966887977112563e-22,0.0077093550648699135,8.85445002580635,0.17468304593631845,6.022956352737141e-12
24.0,0.0,47.49676457048412,455.861227927712,4.6430572694625185e-06,3.6258284919384825e-08,1.9966887977112563e-22,0.06826209915308773,1.9966887977112563e-22,0.0077093550648699135,8.85445002580635,0.14398453711372336,6.022956352737141e-12
25.0,0.0,47.49676731843824,455.8612281628639,7.1675497708715566e-06,3.6258284919384825e-08,1.9966887977112563e-22,0.06826209915308773,1.9966887977112563e-22,0.0077093550648699135,8.85445002580635,0.08690429123684672,6.022956352737141e-12
